particle,time_yr,distance_au,relative_speed_km_s,collided
tp_000096,106.51999999999595,14.831948060801153,21.763332734898626,False
tp_000097,142.5199999999991,21.137821740450473,23.810480052428797,False
tp_000098,43.00000000000112,42.785485061798084,25.822575614474378,False
tp_000099,39.0000000000005,29.631785102579173,25.006414945218047,False
tp_000100,105.51999999999614,18.52640758625018,22.681487336298964,False
tp_000101,34.5199999999998,41.71814738681079,24.727278442771734,False
tp_000102,71.00000000000301,19.981938546475174,25.033834052167876,False
tp_000103,171.00000000001367,39.03240144691048,25.70053286919388,False
tp_000104,64.5000000000043,36.90691514181213,24.329885070831754,False
tp_000105,195.00000000002595,24.000705360811832,26.8976426069925,False
tp_000106,1.5000000000000009,17.26565883198804,22.098213255730556,False
tp_000107,104.51999999999634,42.18261240766112,24.84849588267845,False
tp_000108,179.50000000001802,36.90977952481581,24.253920777954626,False
tp_000109,40.50000000000073,38.2215461994733,24.699007635510604,False
tp_000110,133.01999999999424,30.47361841583222,24.725483047573597,False
tp_000111,61.500000000004015,15.469518723008038,23.560250559892204,False
tp_000112,122.51999999999276,25.25450125347672,23.505191732287862,False
tp_000113,145.00000000000037,22.138314414659735,24.99592645987334,False
tp_000114,100.51999999999714,25.23834813591404,23.216953911390867,False
tp_000115,154.50000000000523,30.439214014324765,24.76860209163046,False
tp_000116,3.000000000000002,18.487053333518116,23.711404828969606,False
tp_000117,58.500000000003546,33.53851093586615,23.975024687539445,False
tp_000118,74.50000000000232,18.728172998086826,22.92941667123247,False
tp_000119,60.50000000000386,35.0393675324078,24.606260008941558,False
tp_000120,133.01999999999424,38.395987950397256,25.86362477401954,False
tp_000121,189.50000000002314,37.165333445867944,24.594677609955905,False
tp_000122,120.01999999999326,18.590074991715074,23.231058724259753,False
tp_000123,86.00000000000003,41.43668187592049,27.42685579888576,False
tp_000124,199.000000000028,31.074881277118497,25.347779334336998,False
tp_000125,101.01999999999704,25.7446642405462,24.2775479775488,False
tp_000126,75.00000000000222,35.035880355667494,26.617885574379315,False
tp_000127,131.51999999999347,35.90587452748658,24.44654870398334,False
tp_000128,65.0000000000042,20.265817529184083,23.65931732529387,False
tp_000129,186.5000000000216,29.376935835806062,24.00802878489197,False
tp_000130,40.000000000000654,26.379759501332966,25.222355224885355,False
tp_000131,92.01999999999883,32.43621995894031,25.757996706531276,False
tp_000132,200.0000000000285,35.47253123264777,25.603671858993856,False
tp_000133,187.00000000002186,38.376000072597606,26.480077881149892,False
tp_000134,199.50000000002825,42.50360709609269,29.074374576263278,False
tp_000135,141.5199999999986,14.993064877242887,23.97959691673815,False
tp_000136,200.0000000000285,37.263042939443075,25.445318233574568,False
tp_000137,65.0000000000042,18.236993867773258,23.349676518417958,False
tp_000138,193.50000000002518,31.030991779225896,24.05015332433766,False
tp_000139,183.0000000000198,23.10620890723533,24.6941958862077,False
tp_000140,137.51999999999654,20.68926609025014,23.15679945964109,False
tp_000141,186.5000000000216,20.579150764103947,25.409971027254457,False
tp_000142,144.5000000000001,36.94715824769252,24.63356461056407,False
tp_000143,62.50000000000417,13.899466886384955,21.254027556079897,False
tp_000144,121.51999999999296,34.81816176131588,26.114320429487943,False
tp_000145,76.00000000000202,34.57574313209176,25.249768615346518,False
tp_000146,71.50000000000291,28.719979098622225,24.316363032827038,False
tp_000147,111.01999999999505,17.7654506397211,23.472819464849486,False
tp_000148,157.50000000000676,16.355095247059996,21.863588706026274,False
tp_000149,200.0000000000285,40.90519555223645,27.2324131431661,False
tp_000150,1.0000000000000004,37.68520417023461,28.259594718761115,False
tp_000151,111.51999999999495,18.816225486999524,25.562103141519632,False
tp_000152,55.000000000003,22.53927768618083,24.27624119153624,False
tp_000153,184.50000000002058,14.447539807749958,21.278049026431464,False
tp_000154,135.01999999999526,30.823154532492122,25.023569443445087,False
tp_000155,77.00000000000182,28.08595229668704,24.924107760542032,False
