label,c_eff,impactor_dh,n_photolysis_scale,h2_reservoir_kg,argon_shielding_factor,argon_exposure_factor,first_T_below_1500_yr_min,first_T_below_1500_yr_max,final_T_K_min,final_T_K_max,D_H_over_SMOW_min,D_H_over_SMOW_max,N_residual_fraction_min,N_residual_fraction_max,Ar36_retained_fraction_min,Ar36_retained_fraction_max,max_crossover_amu_min,max_crossover_amu_max
oat_c_eff_00,2.5e+25,0.0001465,0.61,5e+20,0.9805247566,0.019475243399999953,50550.55055055056,50550.55055055056,300.0,300.0,0.9424699699296769,0.9463006295671574,0.0018393505095084836,0.0018393505095084836,0.12000000073673292,0.12000000073673292,564603.1225622032,564603.1225622032
oat_c_eff_01,2.75e+25,0.0001465,0.61,5e+20,0.9805247566,0.019475243399999953,55555.55555555556,55555.55555555556,458.70391581958984,458.70391581958984,0.9424718827387683,0.9463063158001527,0.00021738594816149103,0.00021738594816149103,0.11999735497820528,0.11999735497820528,564603.1225622032,564603.1225622032
oat_c_eff_02,3.125e+25,0.0001465,0.61,5e+20,0.9805247566,0.019475243399999953,63163.16316316317,63163.16316316317,739.6594459212134,739.6594459212134,0.9424736511808023,0.9463115730927214,1.6819774002860756e-05,1.6819774002860756e-05,0.11999523390373458,0.11999523390373458,564603.1225622032,564603.1225622032
oat_c_eff_03,3.75e+25,0.0001465,0.61,5e+20,0.9805247566,0.019475243399999953,75775.77577577578,75775.77577577578,1083.049538267724,1083.049538267724,0.9424741375922924,0.9463130191528369,1.5812945242813694e-06,1.5812945242813694e-06,0.1199934619388814,0.1199934619388814,564603.1225622032,564603.1225622032
oat_c_eff_04,5e+25,0.0001465,0.61,5e+20,0.9805247566,0.019475243399999953,,,1512.2871537006708,1512.2871537006708,0.9424741629785147,0.9463130946243661,4.1621110238998436e-07,4.1621110238998436e-07,0.1199918806765342,0.1199918806765342,564603.1225622032,564603.1225622032
counterfactual_no_argon_shielding,2.5e+25,0.0001465,0.61,5e+20,0.0,1.0,50550.55055055056,50550.55055055056,300.0,300.0,0.9424699699296769,0.9463006295671574,0.0018393505095084836,0.0018393505095084836,2.2739652566007968e-53,2.2739652566007968e-53,564603.1225622032,564603.1225622032
counterfactual_complete_argon_shielding,2.5e+25,0.0001465,0.61,5e+20,1.0,0.0,50550.55055055056,50550.55055055056,300.0,300.0,0.9424699699296769,0.9463006295671574,0.0018393505095084836,0.0018393505095084836,1.0,1.0,564603.1225622032,564603.1225622032
counterfactual_no_atomic_n_access,2.5e+25,0.0001465,0.0,5e+20,0.9805247566,0.019475243399999953,50550.55055055056,50550.55055055056,300.0,300.0,0.9424699699296769,0.9463006295671574,1.0,1.0,0.12000000073673292,0.12000000073673292,564603.1225622032,564603.1225622032
counterfactual_no_h2_escape_reservoir,2.5e+25,0.0001465,0.61,0.0,0.9805247566,0.019475243399999953,50550.55055055056,50550.55055055056,300.0,300.0,0.942410500248247,0.946123967285474,1.0,1.0,1.0,1.0,2.016,2.016
counterfactual_smow_like_impactor_water,2.5e+25,0.0001558,0.61,5e+20,0.9805247566,0.019475243399999953,50550.55055055056,50550.55055055056,300.0,300.0,1.000063103797564,1.0001867221292262,0.0018393505095084836,0.0018393505095084836,0.12000000073673292,0.12000000073673292,564603.1225622032,564603.1225622032
