first_T_below_1500_yr,final_T_K,D_H_over_SMOW,final_N_kg,N_residual_fraction,final_Ar36_kg,Ar36_retained_fraction,max_crossover_amu,label,case,c_eff,impactor_dh,n_photolysis_scale,h2_reservoir_kg,argon_shielding_factor,argon_exposure_factor
50550.55055055056,300.0,0.9006586186858874,4.3224736973449364e+18,0.0018393505095084836,600000003683664.6,0.12000000073673292,564603.1225622032,oat_impactor_dh_00,3,2.5e+25,0.000139175,0.61,5e+20,0.9805247566,0.019475243399999953
50550.55055055056,300.0,0.8983620907760341,4.3224736973449364e+18,0.0018393505095084836,600000003683664.6,0.12000000073673292,564603.1225622032,oat_impactor_dh_00,4,2.5e+25,0.000139175,0.61,5e+20,0.9805247566,0.019475243399999953
50550.55055055056,300.0,0.8983847544196676,4.3224736973449364e+18,0.0018393505095084836,600000003683664.6,0.12000000073673292,564603.1225622032,oat_impactor_dh_00,5,2.5e+25,0.000139175,0.61,5e+20,0.9805247566,0.019475243399999953
50550.55055055056,300.0,0.8971943325090956,4.3224736973449364e+18,0.0018393505095084836,600000003683664.6,0.12000000073673292,564603.1225622032,oat_impactor_dh_00,6,2.5e+25,0.000139175,0.61,5e+20,0.9805247566,0.019475243399999953
50550.55055055056,300.0,0.8971076359960992,4.3224736973449364e+18,0.0018393505095084836,600000003683664.6,0.12000000073673292,564603.1225622032,oat_impactor_dh_00,7,2.5e+25,0.000139175,0.61,5e+20,0.9805247566,0.019475243399999953
50550.55055055056,300.0,0.9292133040818864,4.3224736973449364e+18,0.0018393505095084836,600000003683664.6,0.12000000073673292,564603.1225622032,oat_impactor_dh_01,0,2.5e+25,0.00014357,0.61,5e+20,0.9805247566,0.019475243399999953
50550.55055055056,300.0,0.9293236133083549,4.3224736973449364e+18,0.0018393505095084836,600000003683664.6,0.12000000073673292,564603.1225622032,oat_impactor_dh_01,1,2.5e+25,0.00014357,0.61,5e+20,0.9805247566,0.019475243399999953
50550.55055055056,300.0,0.9268770809750616,4.3224736973449364e+18,0.0018393505095084836,600000003683664.6,0.12000000073673292,564603.1225622032,oat_impactor_dh_01,2,2.5e+25,0.00014357,0.61,5e+20,0.9805247566,0.019475243399999953
50550.55055055056,300.0,0.9269539295357814,4.3224736973449364e+18,0.0018393505095084836,600000003683664.6,0.12000000073673292,564603.1225622032,oat_impactor_dh_01,3,2.5e+25,0.00014357,0.61,5e+20,0.9805247566,0.019475243399999953
50550.55055055056,300.0,0.9252536151275554,4.3224736973449364e+18,0.0018393505095084836,600000003683664.6,0.12000000073673292,564603.1225622032,oat_impactor_dh_01,4,2.5e+25,0.00014357,0.61,5e+20,0.9805247566,0.019475243399999953
50550.55055055056,300.0,0.9252703925977332,4.3224736973449364e+18,0.0018393505095084836,600000003683664.6,0.12000000073673292,564603.1225622032,oat_impactor_dh_01,5,2.5e+25,0.00014357,0.61,5e+20,0.9805247566,0.019475243399999953
50550.55055055056,300.0,0.9243892068715311,4.3224736973449364e+18,0.0018393505095084836,600000003683664.6,0.12000000073673292,564603.1225622032,oat_impactor_dh_01,6,2.5e+25,0.00014357,0.61,5e+20,0.9805247566,0.019475243399999953
50550.55055055056,300.0,0.9243250363562457,4.3224736973449364e+18,0.0018393505095084836,600000003683664.6,0.12000000073673292,564603.1225622032,oat_impactor_dh_01,7,2.5e+25,0.00014357,0.61,5e+20,0.9805247566,0.019475243399999953
50550.55055055056,300.0,0.9462160508067251,4.3224736973449364e+18,0.0018393505095084836,600000003683664.6,0.12000000073673292,564603.1225622032,oat_impactor_dh_02,0,2.5e+25,0.0001465,0.61,5e+20,0.9805247566,0.019475243399999953
50550.55055055056,300.0,0.9463006295671574,4.3224736973449364e+18,0.0018393505095084836,600000003683664.6,0.12000000073673292,564603.1225622032,oat_impactor_dh_02,1,2.5e+25,0.0001465,0.61,5e+20,0.9805247566,0.019475243399999953
50550.55055055056,300.0,0.9444252432583514,4.3224736973449364e+18,0.0018393505095084836,600000003683664.6,0.12000000073673292,564603.1225622032,oat_impactor_dh_02,2,2.5e+25,0.0001465,0.61,5e+20,0.9805247566,0.019475243399999953
50550.55055055056,300.0,0.9444841367690439,4.3224736973449364e+18,0.0018393505095084836,600000003683664.6,0.12000000073673292,564603.1225622032,oat_impactor_dh_02,3,2.5e+25,0.0001465,0.61,5e+20,0.9805247566,0.019475243399999953
50550.55055055056,300.0,0.9431812980285696,4.3224736973449364e+18,0.0018393505095084836,600000003683664.6,0.12000000073673292,564603.1225622032,oat_impactor_dh_02,4,2.5e+25,0.0001465,0.61,5e+20,0.9805247566,0.019475243399999953
50550.55055055056,300.0,0.9431941513831105,4.3224736973449364e+18,0.0018393505095084836,600000003683664.6,0.12000000073673292,564603.1225622032,oat_impactor_dh_02,5,2.5e+25,0.0001465,0.61,5e+20,0.9805247566,0.019475243399999953
50550.55055055056,300.0,0.9425191231131548,4.3224736973449364e+18,0.0018393505095084836,600000003683664.6,0.12000000073673292,564603.1225622032,oat_impactor_dh_02,6,2.5e+25,0.0001465,0.61,5e+20,0.9805247566,0.019475243399999953
